"Index"	"Phase"	"Stiffness"	"Depth..nm."	"Load..mN."	"E.GPa"	"H.GPa"	"hc.nm"	"Ac.nm2"	"X"	"Y"
20271	2	47066.420514	29.01	0.248696542	261.306549844	9.956366226	25.048	24979	51.203164	15.6005300000033
20272	2	39890.596894	29.064	0.204565421	220.31265208	8.104437887	25.218	25241	50.803623	15.6013530000055
20273	2	45552.04327	29.116	0.248770038	253.1154203	9.976367098	25.02	24936	50.403772	15.6011910000016
20274	2	44822.582998	29.071	0.239061119	248.670345559	9.556878186	25.071	25015	50.003363	15.6011390000058
20275	2	37725.250856	29.074	0.170223839	205.396788693	6.553846614	25.69	25973	49.603374	15.6023459999997
20276	2	38867.260579	29.05	0.177929043	212.083988582	6.880937437	25.616	25858	49.20358	15.6019670000023
20277	2	41895.500597	29.041	0.185564082	227.902607395	7.131988012	25.719	26019	48.803971	15.6012000000046
20278	2	41251.920698	29.034	0.198504911	226.399223756	7.765789952	25.425	25561	48.402782	15.6009380000032
20279	2	46375.882327	29.117	0.231810248	254.96567021	9.100485155	25.368	25472	48.003966	15.601370000004
20280	2	44254.024017	29.152	0.222710063	243.226222285	8.73791794	25.378	25488	47.603971	15.6017790000042
20281	2	37518.927748	29.022	0.192408309	207.481765735	7.642504844	25.176	25176	47.202978	15.6015650000045
20282	2	44297.504417	29.125	0.214898659	242.661116146	8.375841185	25.487	25657	46.803395	15.6013890000031
20283	2	39091.692722	29.002	0.204243383	216.792015378	8.15865322	25.084	25034	46.403179	15.601791000001
20284	2	38967.067919	29.162	0.198971158	214.466069999	7.828250661	25.332	25417	46.003553	15.6013559999992
20285	2	44689.842775	29.113	0.223925566	245.790277659	8.797682672	25.355	25453	45.603973	15.6011690000014
20286	2	44210.268079	29.155	0.247409438	246.126435312	9.959541722	24.958	24841	45.202976	15.6015719999996
20287	2	45013.005951	29.055	0.18598389	243.130322076	7.047424164	25.956	26390	44.803793	15.6011720000024
20288	2	42100.836837	29.138	0.188993672	228.66278978	7.241185433	25.771	26100	44.403538	15.6009660000054
20289	2	37485.735501	29.063	0.16407174	203.537596281	6.282664371	25.781	26115	44.003385	15.6009740000009
20290	2	36197.464309	29.124	0.164172579	196.882822372	6.308307323	25.723	26025	43.60379	15.6011419999995
20291	2	47292.647842	29.105	0.230678068	259.379754081	9.012474728	25.447	25595	43.203775	15.601333999999
20292	2	40387.023586	29.205	0.206609883	222.037398799	8.11096493	25.368	25473	42.802973	15.6015660000048
20293	2	40031.619312	29.216	0.201436477	219.59360248	7.872706008	25.442	25587	42.403209	15.6009720000002
20294	2	39544.138788	29.199	0.174975311	214.072895806	6.660222914	25.88	26272	42.003159	15.6017980000033
20295	2	47873.35843	29.18	0.224917694	260.913935154	8.677272721	25.656	25920	41.60356	15.6011570000046
20296	2	36451.038441	29.013	0.156432575	197.838953269	5.985271588	25.794	26136	41.203772	15.6011440000002
20297	2	41892.697568	29.085	0.205285903	230.025891531	8.03875489	25.41	25537	40.803375	15.6013750000056
20298	2	38769.804673	29.007	0.171427189	211.080040123	6.599935346	25.69	25974	40.403814	15.6017320000028
20299	2	45184.72464	29	0.198501251	245.899505619	7.635687474	25.705	25997	40.002978	15.6013830000011
20300	2	41065.294516	29.097	0.187068772	223.647556527	7.206636104	25.68	25958	39.603161	15.6017320000028
20301	2	43380.448195	29.088	0.166389281	232.545159967	6.210188067	26.211	26793	39.203379	15.6009699999995
20302	2	43830.307081	29.017	0.159633722	234.441307253	5.931939992	26.285	26911	38.803974	15.6009740000009
20303	2	41718.720371	29.108	0.210939063	229.723015957	8.307243462	25.316	25392	38.403592	15.6009780000022
20304	2	46174.550315	29.095	0.193196754	249.393337975	7.320100428	25.957	26393	38.002977	15.6019620000006
20305	2	47569.783998	29.043	0.230798291	261.242016156	9.040847611	25.404	25528	37.603974	15.6017639999991
20306	2	40309.551015	29.029	0.256033691	229.310575682	10.761733434	24.265	23791	37.203227	15.601751000002
20307	2	45735.478627	29.111	0.215275638	249.830477115	8.343189917	25.58	25803	36.803216	15.6007510000054
20308	2	46046.340374	29.114	0.179385598	246.971842783	6.702627497	26.192	26763	36.403966	15.6011540000036
20309	2	43917.50476	29.126	0.194439194	238.279815913	7.434227995	25.806	26155	36.003571	15.6017859999993
20310	2	42679.78085	29.072	0.160406644	228.502900759	5.971924288	26.253	26860	35.603964	15.601754000003
20311	2	39919.657544	29.14	0.168430236	215.495386401	6.374927677	25.975	26421	35.203373	15.6013710000043
20312	2	46626.147712	29.082	0.181988126	250.361315923	6.815085351	26.155	26704	34.803367	15.6009740000009
20313	2	36830.641849	29.103	0.167178303	200.472870131	6.433175792	25.699	25987	34.403967	15.601376999999
20314	2	39526.760833	29.041	0.184404095	216.167514318	7.163443378	25.542	25742	34.003098	15.6009740000009
20315	2	36630.905869	29.039	0.160631679	199.078065247	6.162196895	25.75	26067	33.603775	15.6007460000037
20316	2	41565.045032	29.134	0.180979623	225.091748933	6.893585818	25.869	26253	33.203974	15.6013750000056
20317	2	39618.978363	29.152	0.176419436	214.918412885	6.74279569	25.812	26164	32.803163	15.6009780000022
20318	2	49082.370148	29.07	0.261470164	272.272731072	10.450383975	25.075	25020	32.403469	15.6015620000035
20319	2	38104.962655	29	0.196785248	211.039202222	7.839865212	25.127	25101	32.003572	15.6011419999995
20320	2	48590.854336	29.076	0.242093265	267.372138943	9.52047913	25.34	25429	31.602959	15.6017350000038
20321	2	42460.21803	29.044	0.154068699	226.864523396	5.712628947	26.322	26970	31.20397	15.6012039999987
20322	2	39579.136969	29.073	0.165860251	213.94549311	6.294610033	25.93	26350	30.803965	15.6011419999995
20323	2	44844.083311	29.074	0.217409091	246.016102304	8.4985989	25.438	25582	30.403512	15.6009770000019
20324	2	34987.78293	29.065	0.168789088	191.895365888	6.594674434	25.447	25595	30.003414	15.601582000003
20325	2	41061.294953	29.094	0.173510082	221.99228619	6.587006112	25.925	26341	29.602981	15.6012000000046
20326	2	42738.97803	29.212	0.195322135	232.032586668	7.477458737	25.785	26121	29.20357	15.6009730000005
20327	2	39278.068221	29.158	0.148651551	209.881367071	5.512769574	26.319	26965	28.803972	15.6017960000027
20328	2	39695.830443	29.078	0.152858305	212.926667332	5.712316139	26.19	26759	28.403974	15.6019620000006
20329	2	43148.771596	29.113	0.176803102	232.479766962	6.66616712	26.04	26522	28.003753	15.6013920000041
20330	2	44651.087539	29.157	0.164449585	238.064503039	6.071707681	26.395	27085	27.604172	15.6009740000009
20331	2	40043.396737	29.005	0.142397829	213.854506539	5.275106427	26.338	26994	27.203387	15.6013840000014
20332	2	43450.464308	29.056	0.183057288	235.106507463	6.961139677	25.897	26297	26.803978	15.6009720000002
20333	2	41764.381885	29.118	0.198826563	228.366577894	7.721118949	25.547	25751	26.403209	15.6023600000044
20334	2	43943.887139	29.13	0.172549405	235.745230795	6.449933266	26.185	26752	26.003407	15.6009540000014
20335	2	47150.699183	29.046	0.249163454	261.494073236	9.953701989	25.082	25032	25.603755	15.6017869999996
20336	2	46527.871073	29.155	0.168923842	247.794661125	6.223022116	26.432	27145	25.203502	15.6011680000011
20337	2	43753.84317	29.001	0.208752379	240.15271975	8.168210249	25.422	25557	24.802974	15.6011839999992
20338	2	36422.394293	29.195	0.249148125	208.51894529	10.606315574	24.064	23491	24.403161	15.6017680000004
20339	2	46360.289858	29.117	0.264500779	259.051162815	10.726514624	24.838	24659	24.003782	15.6013540000058
20340	2	44793.841403	29.1	0.202488885	243.735369439	7.786719869	25.71	26004	23.603161	15.6015729999999
20341	2	44256.634139	29.111	0.281023428	251.101575708	11.749990259	24.349	23917	23.20297	15.6009740000009
20342	2	44965.90825	29.043	0.262899342	252.667187415	10.781354269	24.658	24385	22.803974	15.601416000005
20343	2	47457.835373	29.032	0.260948829	264.616073898	10.537189997	24.908	24765	22.402398	15.6017859999993
20344	2	42893.92885	29.046	0.219424376	236.963258447	8.697773832	25.209	25228	22.00378	15.6011839999992
20345	2	38872.694719	29.002	0.222333876	218.065019996	9.087432984	24.712	24466	21.603972	15.6011600000056
20346	2	36389.822829	29.046	0.238140186	207.845375092	10.090353983	24.138	23601	21.203209	15.6011720000024
20347	2	43761.579907	29.004	0.293923571	251.312610097	12.590119656	23.967	23346	20.803171	15.6009770000019
20348	2	38082.169444	29.019	0.17603091	208.198762235	6.833681365	25.553	25759	20.404141	15.6011690000014
20349	2	43544.181218	29.161	0.204839039	237.487284665	7.913818075	25.633	25884	20.003574	15.6011720000024
20350	2	48164.945794	29.017	0.229466946	264.193135872	8.967139158	25.444	25590	19.603344	15.6015689999986
20351	2	41254.851626	29.201	0.23195299	229.488441153	9.322328734	24.984	24881	19.20397	15.6005619999996
20352	2	41676.478567	29.159	0.213389831	229.467005272	8.402045894	25.319	25397	18.803966	15.6015729999999
20353	2	40048.438293	29.029	0.203494719	221.186111763	8.06214395	25.218	25241	18.403161	15.6017639999991
20354	2	42019.65407	29.172	0.19504012	228.773994974	7.509053316	25.69	25974	18.00377	15.6017490000013
20355	2	37198.875699	29.065	0.191705744	205.563197049	7.603597001	25.2	25213	17.603575	15.6017639999991
20356	2	41429.029461	29.006	0.244286877	233.335890078	10.064833001	24.584	24271	17.203404	15.6009760000015
20357	2	43867.002511	29.028	0.23282081	243.542377782	9.32068493	25.048	24979	16.803371	15.601963000001
20358	2	42420.424037	29.054	0.197360941	231.833992726	7.65628855	25.564	25778	16.402982	15.6019620000006
20359	2	41862.886753	29.172	0.184423673	226.706982286	7.024913483	25.868	26253	16.003193	15.6011760000038
20360	2	45020.509478	29.109	0.215265295	246.356636209	8.372103814	25.522	25712	15.603787	15.6009750000012
20361	2	38394.14652	29.056	0.20197118	212.74366948	8.054257783	25.111	25076	15.202956	15.6005980000045
20362	2	54326.080875	29.039	0.231290118	294.397921579	8.821910972	25.846	26218	14.802994	15.6017710000015
20363	2	40235.207247	29.009	0.18940176	220.46453716	7.385873651	25.478	25644	14.403359	15.6013830000011
20364	2	40251.430465	29.024	0.167385963	217.741878337	6.361993092	25.905	26310	14.003569	15.6017550000033
20365	2	43709.208204	29.16	0.18443204	235.807527029	6.972020991	25.996	26453	13.603176	15.6009740000009
20366	2	41565.342062	29.049	0.197238703	227.674939016	7.686218817	25.49	25661	13.203967	15.6009720000002
20367	2	42228.069721	29.165	0.20007577	230.453815516	7.739496537	25.612	25851	12.803772	15.6019700000033
20368	2	39445.809816	29.105	0.135934876	209.538491353	4.982067825	26.52	27285	12.40396	15.6013750000056
20369	2	42652.874381	29.164	0.199125258	232.417929275	7.679304085	25.662	25930	12.003357	15.6019680000027
20370	2	40778.616334	29.124	0.209515113	224.854692438	8.273840812	25.271	25323	11.603755	15.6011910000016
20371	2	40559.072414	29.052	0.206247381	223.869257983	8.161203351	25.238	25272	11.203172	15.6023970000024
20372	2	37105.520778	29.063	0.158477483	200.994423346	6.03964461	25.86	26240	10.803556	15.601748000001
20373	2	40651.41962	29.049	0.157396658	218.341921683	5.897544077	26.145	26689	10.403971	15.6009699999995
20374	2	32232.517468	29.035	0.123830344	173.077076689	4.637357669	26.154	26703	10.002337	15.6011740000031
20375	2	43682.460783	29.003	0.159153851	233.753960353	5.919346753	26.27	26887	9.60360300000001	15.6013500000045
20376	2	41562.316257	29.237	0.162437733	222.178814628	6.029004264	26.305	26943	9.20377500000001	15.6017820000052
20377	2	40562.002065	29.157	0.162279548	217.790182632	6.076513804	26.156	26706	8.803974	15.6017649999994
20378	2	38042.135088	29.04	0.14698045	204.3420501	5.508053683	26.142	26685	8.40379799999999	15.6011690000014
20379	2	38992.771362	29.195	0.162345095	209.881412584	6.109023415	26.073	26575	8.00354900000001	15.6017830000055
20380	2	46295.396572	29.083	0.184222482	248.995310332	6.921531705	26.099	26616	7.603792	15.6013630000016
20381	2	46068.137416	29.157	0.218089016	251.449600715	8.438927445	25.607	25843	7.203746	15.6009740000009
20382	2	41212.897255	29.054	0.192372192	225.309115353	7.467691915	25.554	25761	6.803769	15.6013500000045
20383	2	42031.005873	29.204	0.163654185	224.826015713	6.081819739	26.284	26909	6.40315200000001	15.601963000001
20384	2	41057.016437	29.16	0.161030432	220.042381472	6.007568416	26.218	26805	6.003771	15.6013720000046
20385	2	38736.517424	29.055	0.188065643	212.667560939	7.362472442	25.414	25544	5.602974	15.6011870000002
20386	2	36716.209991	29.004	0.160404359	199.675818064	6.161753036	25.728	26032	5.203789	15.6013870000024
20387	2	38462.002585	29.111	0.180585425	210.038828925	6.994729975	25.59	25817	4.80297400000001	15.6009740000009
20388	2	40764.231304	29.164	0.18313158	221.245438123	7.006582555	25.795	26137	4.40337599999999	15.601539000003
20389	2	44059.013738	29.12	0.216241222	241.704829555	8.452641847	25.439	25583	4.00316100000001	15.6013510000048
20390	2	41371.263684	29.167	0.18720898	224.685969728	7.171894273	25.773	26103	3.60436300000001	15.601963000001
20391	2	48807.783085	29.183	0.251440525	268.729297133	9.900109769	25.32	25398	3.20317300000001	15.6011720000024
20392	2	52610.676901	29.004	0.211567531	283.899943718	8.001745186	25.988	26440	2.803969	15.601966000002
20393	2	53559.32692	29.125	0.219949946	288.529324974	8.290608824	26.045	26530	2.40318000000001	15.6013680000033
20394	2	46071.29578	29.142	0.195441849	248.810407132	7.40366328	25.961	26398	2.003973	15.6015660000048
20395	2	44790.246027	29.23	0.189231015	241.169516845	7.125627498	26.061	26556	1.60354100000001	15.6017639999991
20396	2	43755.025181	29.228	0.188607206	236.062000566	7.13029401	25.995	26452	1.203192	15.6015650000045
20397	2	51253.498311	29.229	0.181286775	271.813515993	6.622379423	26.576	27375	0.803572000000003	15.6017859999993
20398	2	37280.907885	29.14	0.204961532	207.174000437	8.220964421	25.017	24932	0.402974	15.6015520000001
20399	2	39825.785974	29.195	0.259760168	226.287863841	10.892291042	24.303	23848	0.0029739999999947	15.6017859999993
20400	2	44865.035718	29.072	0.19144484	242.940370326	7.290878735	25.872	26258	0.00375099999999406	15.2015840000022
20401	2	46538.846465	29.09	0.197804156	251.77252306	7.519235964	25.903	26306	0.403743000000006	15.2015780000002
20402	2	38594.981249	29.051	0.145734169	206.843173388	5.436695006	26.219	26806	0.803373000000008	15.2009700000053
20403	2	34047.837279	29.117	0.200340467	191.043611494	8.192331643	24.704	24455	1.203974	15.201356000005
20404	2	45270.682856	29.091	0.218865042	248.154209486	8.541585042	25.465	25623	1.603173	15.2013680000018
20405	2	48684.219771	29.176	0.231984794	265.766328338	8.979163305	25.602	25836	2.003755	15.2009739999994
20406	2	44483.287841	29.132	0.161309378	237.042671354	5.949381103	26.413	27114	2.403373	15.2009700000053
20407	2	42861.996247	29.135	0.209380066	234.905863854	8.168289595	25.472	25633	2.803569	15.2009729999991
20408	2	43001.655266	29.036	0.230410462	238.959194855	9.241281647	25.018	24933	3.203754	15.201568000004
20409	2	37143.308382	29.107	0.180948772	203.679883079	7.067138659	25.453	25604	3.602979	15.2009739999994
20410	2	38358.56603	29.024	0.138738604	205.015578407	5.147533531	26.311	26952	4.00397	15.2017510000005
20411	2	36696.310775	29.236	0.181613399	200.796441252	7.062654555	25.524	25715	4.40397400000001	15.2011530000018
20412	2	33239.547949	29.065	0.166371138	183.058969205	6.55394301	25.311	25385	4.803175	15.2009760000001
20413	2	37498.878008	29.03	0.21404313	210.114467529	8.728297209	24.749	24523	5.20340400000001	15.2009739999994
20414	2	37308.266797	29.175	0.148266954	200.093678859	5.539286437	26.194	26766	5.603576	15.2015480000045
20415	2	42745.212136	29.067	0.189494821	232.359036575	7.27267854	25.743	26056	6.003789	15.201172000001
20416	2	41299.89533	29.112	0.18672768	224.649893288	7.175895406	25.721	26022	6.403587	15.2017630000046
20417	2	39394.561066	29.052	0.162446979	212.763594576	6.154412653	25.959	26395	6.803589	15.2011850000054
20418	2	40752.585807	29.026	0.153009112	218.465891198	5.711196469	26.21	26791	7.20377500000001	15.2011530000018
20419	2	43851.195874	29.114	0.159063005	233.806887319	5.873186167	26.393	27083	7.603786	15.201172000001
20420	2	29128.575996	29.039	0.135778736	159.297238555	5.27427311	25.543	25744	8.0034	15.2015640000027
20421	2	35017.614498	29.086	0.169238608	191.97650085	6.606559323	25.461	25617	8.402385	15.201568000004
20422	2	36467.974399	29.076	0.190698777	201.80245965	7.584560173	25.154	25143	8.803742	15.2015840000022
20423	2	39954.84901	29.093	0.184987595	217.987454112	7.151867874	25.621	25866	9.203345	15.201184000005
20424	2	35278.137777	29.106	0.166123947	192.74297914	6.440668356	25.574	25793	9.602974	15.201565000003
20425	2	39801.249678	29.103	0.165892017	214.842781326	6.278074544	25.977	26424	10.003223	15.2009719999987
20426	2	38672.586645	29.052	0.185314386	212.033543986	7.235435948	25.458	25612	10.402974	15.2011689999999
20427	2	40430.125751	29.068	0.187126378	220.740029162	7.245024941	25.597	25828	10.803756	15.2015539999993
20428	2	40777.441025	29.179	0.197295653	222.947703842	7.660135529	25.551	25756	11.20272	15.2011920000004
20429	2	41009.514071	29.087	0.215930188	227.045797201	8.596544514	25.138	25118	11.603775	15.201184000005
20430	2	39729.03366	29.175	0.174373858	215.054115325	6.636112735	25.884	26277	12.003421	15.201356000005
20431	2	38986.398702	29.077	0.156891322	209.936291257	5.90881769	26.059	26552	12.403193	15.2019660000005
20432	2	40533.142758	29.129	0.158713789	217.403323552	5.930336362	26.192	26763	12.80315	15.2017660000056
20433	2	43567.856641	29.185	0.182529214	234.717072007	6.880852005	26.043	26527	13.203407	15.2009770000004
20434	2	37118.087159	29.096	0.135130892	198.070848768	4.99778375	26.365	27038	13.602791	15.2019629999995
20435	2	44107.41712	29.134	0.174402162	236.737309872	6.525516539	26.169	26726	14.002383	15.201175000002
20436	2	39771.378247	29.111	0.157408766	213.631699808	5.898911641	26.142	26684	14.403784	15.2017669999987
20437	2	43456.576627	29.172	0.195144037	235.789066572	7.461814642	25.804	26152	14.803363	15.2011530000018
20438	2	41557.256517	29.105	0.189750443	226.326395318	7.309915231	25.68	25958	15.203561	15.2017790000027
20439	2	43133.653879	29.151	0.144018344	228.279889745	5.239302688	26.647	27488	15.603769	15.2017830000041
20440	2	40083.060101	29.12	0.138979971	212.927717914	5.093868633	26.519	27284	16.003176	15.2011920000004
20441	2	37899.560648	29.042	0.188518077	208.720015299	7.426184129	25.312	25386	16.403772	15.201565000003
20442	2	41221.870414	29.062	0.206737799	227.095721476	8.149580816	25.3	25368	16.803173	15.2011570000031
20443	2	39008.953763	29.152	0.207634505	215.827360333	8.255374639	25.16	25151	17.20333	15.201771
20444	2	36619.304278	29	0.20465605	204.811972683	8.31510918	24.808	24613	17.603573	15.201172000001
20445	2	41397.709807	29.053	0.206251333	227.9497851	8.122231659	25.317	25393	18.003376	15.2017489999998
20446	2	43395.485293	29.104	0.177247886	233.803484515	6.68262039	26.041	26524	18.403572	15.201767999999
20447	2	34978.61867	29.006	0.241812555	201.815327246	10.455256578	23.821	23128	18.803762	15.2011689999999
20448	2	45757.123809	29.118	0.212775698	249.574408196	8.221622916	25.63	25880	19.203968	15.2011679999996
20449	2	40473.333873	29.086	0.213019005	224.074646934	8.48044615	25.139	25119	19.603404	15.2003750000003
20450	2	39507.80969	29.056	0.227343515	221.432941688	9.275855832	24.74	24509	20.003588	15.2015850000025
20451	2	39208.104517	29.026	0.245885689	222.644438399	10.298124217	24.322	23877	20.403776	15.2013809999989
20452	2	39070.062871	29.085	0.271039403	224.981750665	11.673246628	23.882	23219	20.803974	15.2011889999994
20453	2	49932.689718	29.122	0.227609891	271.754958948	8.756469336	25.703	25993	21.203176	15.201565000003
20454	2	35804.402702	29.025	0.157378159	194.71373692	6.04529704	25.728	26033	21.602974	15.2017510000005
20455	2	44375.227298	29.064	0.203008606	242.015390207	7.842817392	25.633	25885	22.002379	15.2009729999991
20456	2	41452.420448	29.175	0.17491881	223.538330431	6.606837065	26.01	26475	22.40321	15.2017640000049
20457	2	40495.43215	29.09	0.216230851	224.567719128	8.636804776	25.085	25036	22.803209	15.2009770000004
20458	2	41040.842557	29.109	0.22566361	228.292612138	9.069128919	24.985	24883	23.203795	15.2013750000042
20459	2	44605.574206	29.098	0.213376038	244.174042872	8.304609818	25.51	25694	23.603592	15.2013589999988
20460	2	45788.897456	29.062	0.243550496	254.020114712	9.735488049	25.072	25017	24.003775	15.2011920000004
20461	2	46606.314635	29.148	0.165938657	247.884169442	6.096891918	26.478	27217	24.40217	15.2011889999994
